Subj,Subjnr,Prec,Weekly,Mode,P,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,LAKW,AUC.G,AUC.L,Alpha.G,Alpha.L,Gamma.G,Gamma.L,DWG10,DWG30,DWG50,DWG70,DWG90,DWL10,DWL30,DWL50,DWL70,DWL90,SSL4,SSL3,SSL2,SSL1,RP,SSG1,SSG2,SSG3,SSG4,PBSG10,PBSG30,PBSG50,PBSG70,PBSG90,PBSL10,PBSL30,PBSL50,PBSL70,PBSL90,BDG05,BDG510,BDL05,BDL510,D5G,RG,BetaG,D5L,RL,BetaL,Age,Gender,Weight,Height,Cigarettes,Alcohol,Exercise,BMI,TSCs,CRTs,PQNs,PQEs,PQPs,PQLs
158,158,2,2,5,80,40,36,31,27,22,18,13,9,4,0,1.88,0.240942028985507,0.354166666666667,5.24626161438512,2.02274003488013,4.68296784519725,1.42059540894337,0.0425531914893617,0.0904255319148936,0.154255319148936,0.390625,0.4546875,0.172,0.14,0.366666666666667,0.996428571428571,,-48,-41,-34,-25,0,47,63,65,69,8,17,29,56,60.1,-17.2,-14,-29.2,-47.9,-49,16,17.3,-13.5,-12,0.87105464618373,0.14803359855918,0.532421379041938,0.870550563296124,0.148698354997035,0.646142824685832,18,Female,53,173,0,7,2,17.708576965485,3.41666666666667,0,0.5,0.333333333333333,0.333333333333333,0.5
161,161,1,1,3,71,0,0,0,0,0,0,0,0,0,100,2.73913043478261,0.674314784053156,0.492924528301887,0.479874607014313,1.04188334153441,1.01659948923833,0.668785469735506,0.2596,0.3376,0.756286982248521,0.913461538461538,0.943602071005917,0.578571428571429,0.485714285714286,0.489285714285714,0.489285714285714,0.909883720930233,-31.8,-23.2,-16.2,-9.2,0,25.2,150.2,211.2,481.6,30,69,218,388,420.6,-18.4,-15.8,-15.9,-15.9,-28.7,233.9,234.28,-15,-15.9,0.998444262988555,0.00155816110033835,0.993338904069425,1,0,0.934306569343066,18,Female,43,156,0,0,2,17.6692965154504,4,2,0.5,0.333333333333333,0.5,0.5
162,162,2,2,1,100,0,4,9,13,18,22,27,31,36,40,1.7,0.482142857142857,0.361842105263158,1.09307462627241,1.92879463975369,2.77174197240914,2.78490387614433,0.176470588235294,0.333333333333333,0.458333333333333,0.427083333333333,0.427083333333333,0.125,0.25,0.25,0.416666666666667,0.833333333333333,-19,-16,-13,-10,0,17,41,52,70,12,25,37,34,34,-5,-10,-10,-12,-17,35,35,-9.5,-9.5,1,0,1,1,0,1,26,Female,51,158,0,1,3,20.4294183624419,1.58333333333333,3,0.5,0.666666666666667,0.166666666666667,0.333333333333333
163,163,2,2,3,100,20,20,20,20,20,20,20,20,20,20,1,0.665596330275229,0.41875,0.518344556312218,1.5337860346701,0.971390058152843,15.418730840441,0.0409090909090909,0.75133214920071,0.743027888446215,0.856127886323268,0.99866785079929,0.113636363636364,0.0181818181818182,0.382352941176471,0.159090909090909,0.204545454545455,-40,-34,-28,-11,0,11,27.6,52.7,109,1.8,53,52,76.6,108.7,-5,-0.8,-20,-7,-9,53,52.8,-21,-21,0.998000219255842,0.00200378788057654,0.993198833681274,1.00757662405217,-0.0075196504874272,1.03065267064767,19,Female,57,173,0,3,4,19.0450733402386,4.25,1,0.666666666666667,0.5,0.333333333333333,0.5
164,164,2,2,3,100,20,20,20,20,20,20,20,20,20,20,5,0.469642857142857,0.470588235294118,1.15914594656239,1.12608566714332,3.01189880066184,5.36038065670485,0.055,0.225,0.342592592592593,0.560869565217391,0.342592592592593,0.2,0.14,0.2,0.314102564102564,0.442307692307692,-17,-13.6,-8.9,-5,0,25,38.5,50,70,5.5,22.5,30,41.3,30,-4,-2.8,-4,-6,-8,30,17,-9.3,-9.3,0.828619145882035,0.206827050726104,0.950055337805656,1.01904232171845,-0.0186864876095972,1.07837269820475,19,Female,70,168,0,0,2,24.8015873015873,3.16666666666667,1,0.5,0.5,0.5,0.5
165,165,1,1,3,76,0,0,0,0,0,0,0,0,0,100,1,0.688848039215686,0.377941176470588,0.448036099590372,2.03465975928965,0.798444669735773,5.72343527491267,0.37685873605948,0.796875,0.747937293729373,0.800480769230769,0.771634615384615,0.157,0.19,0.282051282051282,0.346153846153846,0.35,-85,-80,-64,-25,0,25,78.8,200,408,52.3,239,199,242,218,-15.7,-19,-30,-40,-40.6,198.62,198.62,-45.9,-43,0.997963596615484,0.00204055878533249,0.99187923433224,1.00176367939267,-0.00176057430404741,1.05831047078208,18,Male,88,196,0,35,3,22.9071220324865,2.91666666666667,0,0.333333333333333,0.333333333333333,0.333333333333333,0.833333333333333
166,166,1,2,4,100,15,14,13,12,11,9,8,7,6,5,2,0.460801393728223,0.575,1.18831910388778,0.695270854827267,6.67486746011085,0.646032999741608,0.147222222222222,0.119444444444444,0.395985401459854,0.264598540145985,0.363138686131387,0.413888888888889,0.489814814814815,0.544444444444444,0.549074074074074,0.728703703703704,-90,-63,-36,-9,0,18,31.7,45.4,57.4,10.6,8.6,26,18.8,24.2,-26.7,-34.9,-40.8,-41.3,-60.7,24.2,13.4,-43.6,-43.6,0.839909719185589,0.19060415322928,0.971025518412404,0.99551551429898,0.00450468690503292,0.982182360529366,18,Female,68,173,0,3,2,22.7204383708109,3.25,0,0.5,0.5,0.666666666666667,0.166666666666667
169,169,1,1,3,100,0,0,0,0,0,0,0,0,0,100,0.647058823529412,0.535958904109589,0.543367346938776,0.843740768861254,0.867669494521144,0.696443247527448,0.85150530179749,0.333333333333333,0.569444444444444,0.489583333333333,0.666666666666667,0.736111111111111,0.375,0.5,0.772727272727273,0.784090909090909,0.852272727272727,-49,-27,-21,-17,0,11,35,53,73,19,40,34,47,52,-19,-21,-29,-30,-36,36.36,36.36,-24.27,-24.27,0.999252215806916,0.000748343792743578,0.997012216642584,0.997014484602339,0.00299445539033627,0.988111311858738,18,Female,73,176,0,14,1,23.566632231405,2.58333333333333,1,,,,
170,170,2,2,2,81,10,12,14,17,19,21,23,26,28,30,1.02272727272727,0.516529818496111,0.426960784313725,0.894476856757517,1.37081695561034,1.81544408109505,2.2939124692734,0.0744444444444445,0.162222222222222,0.38135593220339,0.756172839506173,0.682741116751269,0.0329545454545454,0.101136363636364,0.171590909090909,0.715,0.866477272727273,-51,-42.2,-27.2,-22,0,22.5,52,91.4,115.7,6.7,14.6,38,92,80.8,-2.9,-8.9,-15.1,-40.1,-46.3,56.6,55.8,-25.5,-25.7,0.995108914892633,0.00491512540403116,0.99007585893321,1.00455599735567,-0.00453533438420972,0.99546466561579,18,Male,59,173,0,6,1,19.7133215276154,2.58333333333333,1,,,,
171,171,2,2,3,100,20,20,20,20,20,20,20,20,20,20,1.93548387096774,0.628398058252427,0.582589285714286,0.612924948382247,0.727464228667539,0.759693779433166,2.17013604518355,0.818007662835249,0.25,0.834770114942529,0.820402298850575,0.772509578544061,0.206666666666667,0.288461538461538,0.314102564102564,0.621794871794872,0.596153846153846,-56,-35,-15,-15.5,0,30,71.6,101.6,206,130,30,137,131,111,-6.2,-17,-18,-30,-29,86.1,79.7,-28.1,-28.1,0.944916706411594,0.0582943377068548,0.872134106782833,1.00089726479089,-0.000896460428509993,1.00359389255833,20,Female,61,177,0,0,0,19.4707778735357,3.66666666666667,1,0.833333333333333,0.5,0.166666666666667,0.5
