Subj,Subjnr,Prec,Weekly,Mode,P,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,LAKW,AUC.G,AUC.L,Alpha.G,Alpha.L,Gamma.G,Gamma.L,DWG10,DWG30,DWG50,DWG70,DWG90,DWL10,DWL30,DWL50,DWL70,DWL90,SSL4,SSL3,SSL2,SSL1,RP,SSG1,SSG2,SSG3,SSG4,PBSG10,PBSG30,PBSG50,PBSG70,PBSG90,PBSL10,PBSL30,PBSL50,PBSL70,PBSL90,BDG05,BDG510,BDL05,BDL510,D5G,RG,BetaG,D5L,RL,BetaL,Age,Gender,Weight,Height,Cigarettes,Alcohol,Exercise,BMI,TSCs,CRTs,PQNs,PQEs,PQPs,PQLs
1,1,1,2,3,25,10,10,10,10,10,10,10,10,10,10,3.86666666666667,0.652536231884058,0.661490683229814,0.524124236827964,0.459159091573165,0.820559595572074,0.644849364618553,0.632352941176471,0.669117647058824,0.617647058823529,0.917741935483871,0.898387096774194,0.372549019607843,0.61484375,0.423529411764706,0.673828125,0.654296875,-161,-97,-33,-7.5,0,29,88,190,345,142,157,136,294,282,-20,-62.4,-25.2,-77.5,-72.5,168.11,168.11,-73.95,-55.3,0.996937977815013,0.00307142696248563,0.987808052389296,0.969474458926837,0.0314866893006689,0.992989607734177,20,Male,75,178,0,1,3,23.6712536295922,3.91666666666667,,,,,
2,2,1,1,3,61,0,0,0,0,0,0,0,0,0,100,4.22222222222222,0.539179104477612,0.618137254901961,0.856903001233676,0.632407712176047,0.995451544035209,2.02864975406328,0.292307692307692,0.384615384615385,0.692307692307692,0.916666666666667,0.961805555555556,0.25,0.296296296296296,0.194444444444444,0.595890410958904,0.972727272727273,-51,-29,-14.4,-9,0,38,103,129,201,49,73,123,177,190,-9,-10,-7,-20,-48.6,91.5,91.1,-21.5,-19.9,0.984799779240226,0.0154348336384695,0.943757080675754,0.970520885358626,0.0303745288598101,0.928104104159084,21,Female,57,167,0,7,2,20.4381655849977,3.91666666666667,,,,,
3,3,2,2,4,90,30,28,26,23,21,19,17,14,12,10,2.5,0.397727272727273,0.308333333333333,1.56994135792453,2.22004670876115,1.93655975853192,2.98233927849701,0.1875,0.291666666666667,0.25,0.583333333333333,0.958333333333333,0.125,0.140625,0.15625,0.5,0.78125,-15,-15,-11,-8,0,20,26,38,44,15,21,20,30,43,-4,-4.5,-5,-11,-14,22,22,-7.5,-7.5,1,0,1,1,0,1,18,Male,77,178,0,10,0,24.3024870597147,3.16666666666667,0,0.5,0.5,0.5,0.833333333333333
4,4,2,2,3,10,20,20,20,20,20,20,20,20,20,20,1,0.5,0.5,1,1,1,1,0.1,0.3,0.5,0.7,0.9,0.1,0.3,0.5,0.7,0.9,-100,-75,-50,-25,0,25,50,75,100,10,30,50,70,90,-10,-30,-50,-70,-90,46.9,46.9,-46.9,-46.9,0.987280519153452,0.0128833503748802,0.950084582651638,0.987280519153452,0.0128833503748802,0.950084582651638,21,Male,78,192,0,40,1,21.1588541666667,2.83333333333333,3,0.666666666666667,0.5,0.333333333333333,0.333333333333333
5,5,1,2,2,100,5,6,7,8,9,11,12,13,14,15,0.993939393939394,0.489842454394693,0.518880208333333,1.05816498477093,0.947409432408054,3.72900361165083,0.761145718835277,0.0838414634146342,0.111280487804878,0.158536585365854,0.561904761904762,0.385542168674699,0.8,0.88,0.871428571428571,0.8,0.805714285714286,-38.4,-20.9,-17.3,-16.5,0,16.4,33,43.5,60.3,5.5,7.3,10.4,35.6,25.4,-24.4,-30,-29.4,-24.4,-24.8,20.7,22.6,-14.5,-20.4,0.944398373236284,0.0588751826977201,0.729175990721,1.02508331923219,-0.0244695419012205,0.339145453964411,19,Female,60,177,0,7,3,19.1515847936417,3.16666666666667,1,0.666666666666667,0.666666666666667,0.166666666666667,0.666666666666667
6,6,2,1,3,85,0,0,0,0,0,0,0,0,0,200,1.45454545454545,0.435126582278481,0.509188626907074,1.35447997442064,0.962763743056467,5.07133033503452,0.661730640037212,0.208333333333333,0.192708333333333,0.280769230769231,0.318269230769231,0.423076923076923,0.435897435897436,0.487179487179487,0.5,0.652941176470588,0.705882352941177,-72.1,-53,-36,-16.5,0,24,50,65,79,20,18.5,27.2,31.1,42,-31,-35,-36,-46.4,-50,39.27,39.27,-36.18,-36.18,0.998889100811438,0.00111213465805116,0.995563802345489,1.0007624195125,-0.000761838671829662,1.00305316752414,23,Female,45,170,0,1,4,15.5709342560554,3.75,1,0.666666666666667,0.5,0.5,0.5
7,7,2,2,4,100,30,28,26,23,21,19,17,14,12,10,1.66666666666667,0.790930599369085,0.520833333333333,0.287353652451144,0.899288478675854,0.869807328717162,1.32308867823318,0.352708333333333,0.750730519480519,0.839184253246753,0.819074675324675,0.913555194805195,0.0777777777777778,0.155555555555556,0.561023622047244,0.768055555555556,0.948611111111111,-74.4,-56.4,-31,-18,0,30,150,353,1585,79.3,356.6,792.5,693.4,1159,-5.6,-11.2,-37.2,-57.7,-70.7,768.6,793.5,-33.55,-37.2,1.00004835706882,-4.83547305275556e-05,0.994172696092362,1,0,0.935964912280702,18,Male,70,190,0,12,3,19.3905817174515,3.66666666666667,3,0.666666666666667,0.5,0.666666666666667,1
8,8,2,1,3,100,0,0,0,0,0,0,0,0,0,200,4.16666666666667,0.644503546099291,0.5254329004329,0.575292872708085,0.893371280724599,0.564000594990631,2.71294036405656,0.2125,0.1875,0.583333333333333,0.5,0.5925,0,0.166666666666667,0.470338983050847,0.470338983050847,0.470338983050847,-23.1,-16.8,-10.7,-4.8,0,20,40,70,141,17,15,50,40,51.1,0,-3.2,-10,-10,-10,69.3,69.3,-11.5,-11.6,0.997971490330904,0.00203263288455591,0.99191061706135,1.00076511183653,-0.000764526887958361,0.995406984709313,19,Male,75,176,0,2,5,24.2122933884298,3.16666666666667,1,0.166666666666667,0.5,0.333333333333333,0.333333333333333
9,9,1,2,1,95,0,2,4,7,9,11,13,16,18,20,2.5,0.802906193895871,0.556818181818182,0.254717109728335,0.816487614826521,0.797752186090645,0.875140449852521,0.755353009259259,0.711038961038961,0.813802083333333,0.924623842592593,0.813802083333333,0.0681818181818182,0.34375,0.607142857142857,0.642857142857143,0.826388888888889,-44,-26,-19,-11,0,27.5,115,500,2228,537,440,941,1707,941,-3,-14,-22,-23,-31.5,35.81,1080.19,-22,-22,0.998831005869506,0.00117036227712686,0.326720435232021,1,0,1,18,Male,75,188,0,10,5,21.2200090538705,3,2,0.5,0.833333333333333,0.166666666666667,0.5
10,10,2,2,3,100,20,20,20,20,20,20,20,20,20,20,4.10204081632653,0.340540540540541,0.467857142857143,2.18902428640339,1.14577214607158,5.15992692576131,0.696597734129492,0.111940298507463,0.223880597014925,0.199004975124378,0.236318407960199,0.55,0.153061224489796,0.2625,0.50609756097561,0.567073170731707,0.775,-14,-11,-6.9,-4.9,0,20.1,27,32,37,9,18,16,19,28,-3,-5,-7,-8,-11.3,10,10,-5.1,-6.1,0.884230832389912,0.13092640899796,0.611311572431329,0.954036849118618,0.0481775425381576,0.569551893596035,18,Male,73,180,0,3,2,22.5308641975309,3.25,1,0.5,0.5,0.5,0.166666666666667
11,11,1,2,1,100,0,2,4,7,9,11,13,16,18,20,2.375,0.395089285714286,0.737005649717514,1.71874352596157,0.255660854547092,3.81680407073059,0.681491427951346,0.0592105263157895,0.118421052631579,0.177631578947368,0.493617021276596,0.452127659574468,0.516739130434783,0.56804347826087,0.622608695652174,0.722536231884058,0.645,-708,-363.9,-18.9,-8,0,19,42.5,46,56,4.5,9,13.5,41.9,38,-42,-112.8,-188.1,-326,-219,23.6,23.8,-342,-366.06,0.97270380537466,0.0280621855024263,0.888878381926713,1.00234303800432,-0.0023375610100338,0.985983627880924,23,Male,67,183,0,1,4,20.0065693212697,2.91666666666667,,0.833333333333333,0.333333333333333,0.5,0.333333333333333
12,12,2,2,1,89,0,4,9,13,18,22,27,31,36,40,1.02040816326531,0.417168674698795,0.501884422110553,1.34294922718608,0.991495425337933,1.82800979758836,0.836274615813003,0.083,0.29,0.415,0.575,0.675925925925926,0.122448979591837,0.206122448979592,0.495,0.645,0.825,-99.5,-74.5,-49.5,-24.5,0,25,50,77,83,8.3,29,41.5,58.1,69,-12,-20.2,-49,-64,-82,38.61,35.4,-42.98,-24.32,0.968703866215746,0.0323072250206995,0.960418842362631,0.86840094175709,0.151541818893744,0.996398771850746,20,Male,77,188,0,5,3,21.7858759619737,3.5,3,0.5,0.666666666666667,0.5,0.833333333333333
13,13,2,2,3,100,20,20,20,20,20,20,20,20,20,20,0.909090909090909,0.435,0.455097087378641,1.35381946130859,1.2438717850398,0.903641690128271,0.613330765266573,0.13,0.420454545454545,0.557692307692308,0.75,0.85,0.181818181818182,0.630952380952381,0.353125,0.453125,0.76,-103,-78,-67.5,-27.5,0,25,47,60,75,13,40,50,60,66,-20,-73,-44,-60,-79,30,32,-60,-45.67,0.965863558233532,0.0353429234134273,0.810268374845291,0.981078634548523,0.0192862883617724,1.15466024853482,19,Male,85,198,15,35,4,21.6814610754005,2.75,2,0.666666666666667,0.666666666666667,0.833333333333333,0.5
14,14,2,2,3,100,20,20,20,20,20,20,20,20,20,20,0.980392156862745,0.5,0.509009009009009,1,0.958064177815366,0.965597502149978,0.960533132049736,0.12,0.31,0.51,0.7,0.9,0.108823529411765,0.315789473684211,0.508620689655172,0.706896551724138,0.883928571428571,-111,-83,-54,-25.5,0,25,50,75,100,12,31,51,70,90,-11.1,-33,-55,-78,-98,47.5,47.5,-56.23,-56.23,0.989793781686989,0.0103114593179361,0.959795886352039,1.00244182731685,-0.00243587932018918,1.00980314266462,22,Male,83,181,0,16,4,25.3350019840664,2.16666666666667,,,,,
15,15,2,1,3,50,0,0,0,0,0,0,0,0,0,200,1.64788732394366,0.507082152974504,0.502162629757785,0.963005281099666,1.00357227156429,0.591075783319216,0.449324853855618,0.901785714285714,0.211538461538462,0.4812734082397,0.503246753246753,0.806547619047619,0.436046511627907,0.657608695652174,0.23943661971831,0.319767441860465,0.444767441860465,-28.9,-20.3,-15.7,-7.1,0,11.7,38.4,53.8,70.6,64,9.9,36.4,38.6,57.6,-13.5,-18.6,-6.8,-9.5,-13.8,1.1,1.1,-22.1,-14.5,0.549072913541776,0.821251741502844,0.0908908321828661,1.00062617456728,-0.00062578271805569,1.72932466438757,18,Female,60,174,0,25,0,19.8176773682124,3.08333333333333,1,0.6,0.333333333333333,0.333333333333333,0.666666666666667
16,16,2,1,3,50,0,0,0,0,0,0,0,0,0,200,5.55555555555556,0.734725848563969,0.59,0.395067345562475,0.710196991140317,0.631088093658093,0.880508597295554,0.337837837837838,0.689681335356601,0.371621621621622,0.614567526555387,0.678300455235205,0.05,0.345454545454545,0.840909090909091,0.431818181818182,0.943181818181818,-25,-14,-10,-4.5,0,25,62,127.9,383,38,112,43,92.2,109,-0.9,-6.6,-18,-8.5,-22.5,186.52,186.52,-8.5,-10.6,0.998795509425802,0.0012059431213205,0.995190735500685,0.960863796774034,0.0407302297759167,0.684809501843893,18,Male,77,180,4,40,1,23.7654320987654,2.58333333333333,1,0.166666666666667,1,0.166666666666667,0.333333333333333
17,17,2,2,1,100,0,4,9,13,18,22,27,31,36,40,0.980392156862745,0.5,0.501811594202898,1,0.991822935696315,1,0.968561819208876,0.1,0.3,0.5,0.7,0.9,0.100980392156863,0.303846153846154,0.501923076923077,0.701923076923077,0.879807692307692,-103.5,-77.5,-51.5,-25.5,0,25,50,75,100,10,30,50,70,90,-10.3,-31.1,-51.7,-72.5,-91,49.44,49.44,-51.13,-51.13,0.997749896830212,0.00225517755194571,0.991029919563364,0.997615449178321,0.00239025049546226,0.99049585900633,17,Male,73,174,0,18,3,24.1115074646585,,,,,,
18,18,1,2,1,100,0,2,4,7,9,11,13,16,18,20,1.51724137931034,0.691964285714286,0.645850040096231,0.459853572362831,0.565603247571741,0.812286248901113,0.966110905867978,0.139772727272727,0.367647058823529,0.538732394366197,0.605633802816901,0.866013071895425,0.172413793103448,0.41358024691358,0.755494505494505,0.81043956043956,0.895211930926217,-124.7,-61,-38.8,-14.5,0,22,56,127,280,12.3,38,67,86,198,-10,-30.4,-62.4,-76.4,-98,136.62,136.62,-61,-60,0.99856367648176,0.0014383895109229,0.994267072230103,0.995576132242353,0.00444352532606751,0.997397545803125,19,Male,76,188,0,11,4,21.5029425079221,3.25,1,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667
19,19,2,2,2,55,10,12,14,17,19,21,23,26,28,30,1.46666666666667,0.512244152046784,0.57285575048733,0.904652266464899,0.775268028565274,0.526450451362569,0.804580313935704,0.351123595505618,0.367977528089888,0.358426966292135,0.508620689655172,0.582183908045977,0.246666666666667,0.45,0.75,0.758583690987124,0.702777777777778,-51.3,-28,-19,-15,0,22,66.5,110,136.8,40,43,41.3,68,80.8,-14.8,-18.2,-28,-28.8,-26.3,62.6,58.71,-25.6,-25.6,0.977613970301193,0.0228986393186568,0.957171251112036,0.999593990933921,0.000406173976396307,0.998376952528168,20,Female,60,171,0,1,1,20.5191340925413,,,,,,
20,20,2,1,3,1,0,0,0,0,0,0,0,0,0,200,2.52840909090909,0.709945820433437,0.685417702635505,0.4552314722409,0.471040073241664,0.958067639025572,0.954321260855232,0.197191011235955,0.74203431372549,0.901529636711281,0.934034416826004,0.991873804971319,0.204545454545455,0.585237258347979,0.947718631178707,0.861216730038023,0.938688212927757,-201.1,-95.9,-39,-17.6,0,44.5,85.3,126.1,387.6,35.1,124.8,284.6,318.6,379.1,-14.4,-58.4,-179.1,-142.7,-175.3,187.7,187.7,-97.4,-97.4,0.99856429458546,0.00143776962817999,0.994269534008922,0.998025001035663,0.00197890730421313,0.992123377068434,18,Female,78,178,0,5,2,24.6181037747759,3.58333333333333,1,0.5,0.666666666666667,0.333333333333333,0.333333333333333
21,21,2,1,3,100,0,0,0,0,0,0,0,0,0,200,1.06837606837607,0.560419440745672,0.512931034482759,0.769769933945046,0.942849661864251,0.547624140619843,1.28713173467203,0.05,0.225,0.639880952380952,0.441666666666667,0.547619047619048,0.0555555555555556,0.250925925925926,0.456481481481482,0.85462962962963,0.95462962962963,-104.4,-77.4,-50.4,-23.4,0,25,61,103,150.2,5,22.5,84.5,52.6,69,-5.2,-23.5,-45.7,-88.7,-99.5,103.3,65.7,-23.8,-65.3,0.980056069232933,0.0203497854798009,1.31331757880719,1.04307852594917,-0.0412994083163341,0.470759788747893,19,Male,80,193,5,2,2,21.4770866331982,3.08333333333333,3,0.833333333333333,0.5,0.166666666666667,0.5
22,22,1,1,3,100,0,0,0,0,0,0,0,0,0,100,5.33333333333333,0.261363636363636,0.383522727272727,3.70858968874763,1.71845320133839,2.65582404205198,9.95937735763247,0.140625,0.201041666666667,0.358333333333333,0.358333333333333,0.866666666666667,0.2,0.244444444444444,0.177777777777778,0.307692307692308,0.288461538461538,-8.8,-7,-5.8,-4.5,0,24,27,30,33,13.5,19.3,25.3,25.3,31.4,-3.6,-4.4,-3.2,-4.8,-4.7,6.7,7.7,-1.8,-5.1,0.858620703484489,0.164658615779657,0.472921983377194,1.08371233643915,-0.0772459015408207,0.377490313006028,18,Male,53,170,5,10,3,18.3391003460208,2.5,1,0.666666666666667,0.5,0.666666666666667,0.5
23,23,2,1,3,100,0,0,0,0,0,0,0,0,0,200,2.4,0.397222222222222,0.425,1.59666494160791,1.40775416331247,4.65969734518285,0.793886396359875,0.104166666666667,0.09375,0.1875,0.239583333333333,0.6375,0.475,0.525,0.725,0.725,0.85,-5,-4,-3,-2,0,4.8,5.2,7.2,9,2,1.8,3.6,4.6,6.3,-2.9,-3.1,-3.9,-3.9,-4.4,4.5,4.5,-2.5,-2.5,1,0,1,1,0,1,19,Female,56,170,0,7,2,19.3771626297578,2.91666666666667,1,0.333333333333333,0.666666666666667,0.5,0.666666666666667
24,24,2,1,3,80,0,0,0,0,0,0,0,0,0,200,1.72941176470588,0.502826086956522,0.534090909090909,0.999530460805784,0.876842901169362,2.18683806151626,0.526262669343216,0.0807823129251701,0.178571428571429,0.337171052631579,0.599099099099099,0.75,0.27,0.33,0.437,0.38,0.648076923076923,-83.6,-55,-42,-17,0,29.4,59.8,82,115,9.5,21,40,68.6,82,-19,-25,-35.7,-30,-49.7,49.4,45.92,-42.11,-42.11,0.956842434729404,0.0451041505938239,0.900397422050064,1.00164732857486,-0.00164461934641624,1.00660561433677,18,Male,63,178,0,5,6,19.8838530488575,,,,,,
25,25,1,1,3,66,0,0,0,0,0,0,0,0,0,100,3.33333333333333,0.662390029325513,0.603144989339019,0.527068800585927,0.64088189069952,0.974455803176413,0.783601467907913,0.1625,0.385,0.622222222222222,0.75,0.948830409356725,0.683333333333333,0.436111111111111,0.733333333333333,0.779585798816568,0.865384615384615,-46.9,-30,-15,-6,0,20,40,85,170.5,13,30.8,62,85,153,-26,-12.7,-29,-32,-37.8,71.9,71.3,-25.6,-25,0.978635103784554,0.0218313201037084,0.921777417913222,1.00793547190465,-0.00787299596635205,1.04760354652188,19,Male,72,185,8,7,2,21.0372534696859,3.16666666666667,2,,,,
26,26,1,1,3,100,0,0,0,0,0,0,0,0,0,100,1.94949494949495,0.293978102189781,0.48419540229885,2.82078971254588,1.07341077700786,11.653916503146,0.483696650562154,0.130181347150259,0.129533678756477,0.194948186528497,0.246113989637306,0.271103896103896,0.391975308641975,0.391975308641975,0.407407407407407,0.484567901234568,0.438271604938272,-69.6,-53,-36,-19.8,0,38.6,54,66.6,68.5,20.1,20,30.1,38,39.9,-29,-29,-30,-35,-32,21.34,26.8,-32.71,-34.71,0.952126918391846,0.0502801471982455,0.654393528210527,0.999422410088133,0.00057792371477472,0.933552030747984,19,Female,67,174,0,4,3,22.1297397278372,,,,,,
26,26,2,2,2,85,10,12,14,17,19,21,23,26,28,30,3.57142857142857,0.511363636363636,0.475,0.956621557855708,1.12364593052331,0.862846063673519,0.626468315140778,0.06875,0.15625,0.675,0.5625,0.805555555555556,0.178571428571429,0.291666666666667,0.5,0.625,0.625,-32,-24,-16,-11.2,0,40,80,120,165,11,25,108,90,130,-8,-12,-16,-20,-20,70,70,-17,-17,0.967673433938813,0.0334064829387792,0.87682974309957,1.01219872924994,-0.0120517136580305,1.04969505423834,19,Male,68,188,4,20,0,19.2394748755093,,,,,,
27,27,1,2,2,100,5,6,7,8,9,11,12,13,14,15,3.25,0.595496894409938,0.517857142857143,0.676569702151236,0.94793574888683,0.612991717351493,13.6609287483921,0.462962962962963,0.490740740740741,0.635416666666667,0.37037037037037,0.758333333333333,0.0625,0.15625,0.285714285714286,0.321428571428571,0.21875,-28,-17,-15,-8,0,26,53,101,161,49,52,79,39,103,-2,-5,-9,-10,-7,78.98,78.6,-13.8,-13.8,0.996903965323469,0.0031056498762414,0.990759734185457,0.996903965323469,0.0031056498762414,0.987673255262761,19,Female,60,174,0,10,1,19.8176773682124,2.33333333333333,3,0.5,0.666666666666667,0.5,1
29,29,2,2,2,100,10,12,14,17,19,21,23,26,28,30,1.32530120481928,0.505864197530864,0.363333333333333,0.983804868326591,1.90191539158231,1.04026763847712,1.54270494015503,0.0863636363636364,0.238636363636364,0.467647058823529,0.64030612244898,0.890625,0.052710843373494,0.333333333333333,0.273809523809524,0.75,0.833333333333333,-30,-24,-20.8,-16.6,0,22,39,58.6,81,7.6,21,36.8,50,71.2,-3.5,-18,-17,-24,-26,37.7,33.91,-14.47,-14.47,0.96084241580614,0.0407533884325948,0.964069463382308,0.992831286599341,0.00722047491594813,0.971632018135585,18,Male,65,176,0,7,1,20.9839876033058,3.16666666666667,3,0.666666666666667,0.5,0.833333333333333,0.833333333333333
30,30,1,2,2,100,5,6,7,8,9,11,12,13,14,15,2.98936170212766,0.701755973931933,0.683944374209861,0.439470957070121,0.461054637116907,0.880501896332482,0.896468175919488,0.0462633451957295,0.360019646365422,0.792787025181391,0.599009900990099,0.807618437900128,0.183510638297872,0.746240601503759,0.647243107769424,0.856060606060606,0.898181818181818,-158.2,-75.7,-35.8,-9.4,0,28.1,79,180,414.3,5.2,50.5,220.1,119,234,-6.9,-75.1,-59.3,-110.7,-124.6,168.3,168.3,-71.7,-76.6,0.98466331693186,0.0155755605031858,0.940050176537259,0.99799918364438,0.00200482764756726,0.955396320724384,18,Male,87,192,0,5,6,23.6002604166667,3,3,1,0.166666666666667,0.333333333333333,0.333333333333333
31,31,2,1,3,100,0,0,0,0,0,0,0,0,0,200,1.59235668789809,0.494651741293532,0.20375,0.99148124468996,6.14039875322074,0.923038541801261,5.95662614568941,0.101,0.307954545454545,0.524336283185841,0.671828908554572,0.872448979591837,0.0318471337579618,0.0955414012738854,0.159235668789809,0.222929936305732,0.5,-20,-20,-18,-15.7,0,25,47,80.9,100.5,10.1,30.1,50.3,70.3,90.5,-2,-6,-10,-14,-18,45.5,50.3,-10,-10,1.00014070635143,-0.000140686555935132,0.921596382729535,1,0,1,22,Female,54,155,1,6,4,22.4765868886576,,,,,,
32,32,2,1,3,80,0,0,0,0,0,0,0,0,0,200,1.00403225806452,0.554007633587786,0.637549537648613,0.795462240593907,0.589621723862449,0.855405035023633,1.14013185998996,0.130522088353414,0.250889679715303,0.546916890080429,0.707774798927614,0.77948402948403,0.0756048387096774,0.200604838709677,0.731707317073171,0.742682926829268,0.944327731092437,-151.4,-80,-39,-24.8,0,24.9,53,90.3,131,13,25,60,84,95.1,-7.5,-19.9,-77,-78.8,-135.5,64.45,64.45,-77.07,-77.07,0.997577267325439,0.00242861656326299,0.990344230255669,1.00229775669145,-0.00229248910926128,1.0092227534343,20,Male,74,183,0,7,6,22.096807907074,3.66666666666667,3,0.166666666666667,0.666666666666667,0.333333333333333,0.833333333333333
33,33,2,1,3,50,0,0,0,0,0,0,0,0,0,200,1.58333333333333,0.607248520710059,0.625,0.616448464754296,0.590492302147024,0.621420365551545,0.861232194056913,0.223684210526316,0.4609375,0.584583333333333,0.57875,0.5875,0.166666666666667,0.546875,0.6390625,0.8,0.785714285714286,-90,-55,-23,-12,0,19,51,111,169,17,46,71.3,69.9,72,-8,-29,-40.8,-62,-60,165.36,82.86,-29.5,-46.4,0.997854001306405,0.00215061390823257,1.54229662490453,1.00323481804971,-0.00322438774204314,0.817124193769604,20,Female,63,168,12,30,1,22.3214285714286,2.83333333333333,3,0.8,0.166666666666667,0.666666666666667,0.5
35,35,1,1,3,100,0,0,0,0,0,0,0,0,0,100,1.39664804469274,0.491336633663366,0.536297071129707,1.0194656667398,0.822126748340427,0.535303118543443,0.786326070211234,0.2,0.38,0.48,0.516666666666667,0.516666666666667,0.343304843304843,0.666447368421053,0.546052631578947,0.758771929824561,0.828947368421053,-119.5,-91,-53,-17.9,0,25,50,80,101,20,38,48,52,52,-31,-78.3,-60,-92,-100,48.34,45,-51.5,-59.8,0.977524558459475,0.0229922014194155,0.98085506809814,1.00012081672456,-0.000120802129643383,0.898695874182647,21,Female,70,166,0,0,3,25.4028160836116,2.66666666666667,0,0.5,0.666666666666667,0.333333333333333,0.833333333333333
36,36,2,2,3,100,20,20,20,20,20,20,20,20,20,20,3.84615384615385,0.660661764705882,0.527777777777778,0.460281113067181,0.742975928686887,0.821106287768791,0.694175540491845,0.367537313432836,0.360074626865672,0.501041666666667,0.822953736654804,0.820373665480427,0.134615384615385,0.514705882352941,0.595588235294118,0.529411764705882,0.735294117647059,-27,-24,-7,-6.5,0,25,159,399,680,88,84,160,481,478.1,-3.5,-8,-13.5,-9,-23,330.38,330.38,-13.4,-13.4,0.997072164378762,0.00293643301441748,0.988339990524858,0.999505684385162,0.000494560083609485,0.998024203145132,18,Female,57,180,0,10,2,17.5925925925926,3.41666666666667,2,0.5,0.5,0.666666666666667,0.333333333333333
37,37,2,2,2,1,10,12,14,17,19,21,23,26,28,30,1.35802469135802,0.635280678851175,0.642277125086386,0.577637735567313,0.567547921124208,0.762737961717685,0.66843916479629,0.114772727272727,0.244318181818182,0.519417475728155,0.784615384615385,0.635436893203883,0.624603174603175,0.675396825396825,0.32967032967033,0.682539682539683,0.816714490674318,-144.7,-75,-43.5,-16.2,0,22,36.7,88.2,153.2,10.1,21.5,40.7,97.2,64.6,-59.2,-65.6,-24.9,-66.5,-93.6,70,74.2,-70.1,-74.6,0.996618211937562,0.00339326335996182,0.957050397452504,1.00485197990392,-0.00482855186729303,0.970793268946005,23,Male,85,187,0,0,2,24.3072435585805,3.41666666666667,1,0.833333333333333,0.333333333333333,0.166666666666667,0
38,38,2,1,3,100,0,0,0,0,0,0,0,0,0,200,5.08333333333333,0.629817444219067,0.686885245901639,0.547195801878821,0.425900573975554,2.66770757453429,1.13403760905501,0.0860655737704918,0.180327868852459,0.366108786610879,0.389330543933054,0.806578947368421,0.0833333333333333,0.327338129496403,0.526630434782609,0.841800356506239,0.974598930481283,-122,-65.9,-19.9,-6,0,30.5,150,303,493,10.5,22,86,97.1,346,-2,-10.3,-24.8,-86.5,-116.3,208.98,239.8,-60.09,-61,0.996648416399488,0.00336285448846674,0.909831986661368,1,0,0.993163035311796,20,Male,80,189,1,10,2,22.3957895915568,3.33333333333333,2,,,,
39,39,2,2,2,100,10,12,14,17,19,21,23,26,28,30,1.54037267080745,0.436594202898551,0.469020172910663,1.33213781209135,1.11219385249233,0.763261471595959,2.60727212909179,0.19758064516129,0.74375,0.23991935483871,0.854651162790698,0.767441860465116,0.260180995475113,0.291855203619909,0.385746606334842,0.427601809954751,0.628712871287129,-69.4,-58.4,-38.2,-16.1,0,24.8,34,38,55.2,19.6,37.9,23.8,45.2,39.2,-17,-19.8,-28.1,-31.8,-48.6,25.8,32.1,-37.5,-36.1,1.06576275663547,-0.0617048740219465,0.797550857081345,1.00678685668323,-0.00674110576452269,1.06159120145561,18,Male,60,180,0,2,4,18.5185185185185,3.25,0,0.666666666666667,0.5,0.5,0.333333333333333
40,40,1,2,3,100,10,10,10,10,10,10,10,10,10,10,1.032,0.49371921182266,0.380277044854881,1.02647856586399,1.47299529291407,0.87282048172707,2.44684653197941,0.125968992248062,0.316091954022989,0.489463601532567,0.66765873015873,0.866803278688525,0.076,0.206,0.367,0.514,0.661,-75.8,-75,-50,-25,0,25.8,51.9,77.1,101.5,13,32.7,50.8,68.8,88.5,-7.6,-20.6,-36.7,-51.4,-66.1,49.2,49.2,-36.7,-36.7,0.993852399294268,0.00618562747355322,0.97563542722705,0.99358578804205,0.00645561967083896,0.974588950974137,19,Male,60,180,0,3,3,18.5185185185185,,,,,,
41,41,1,1,3,100,0,0,0,0,0,0,0,0,0,100,3.85714285714286,0.536764705882353,0.507075471698113,0.850847523459447,0.982239005246417,0.856689192585204,3.14730381181379,0.166666666666667,0.519736842105263,0.578947368421053,0.743421052631579,0.840909090909091,0.0107142857142857,0.0892857142857143,0.0642857142857143,0.580645161290323,0.701612903225806,-21.2,-15.2,-9,-7,0,27,48,86,119,18,51,60,85,98,-0.3,-2.5,-1.8,-11,-14,54.3,54.92,-10.5,-10.6,0.989305100343126,0.0108105170519837,0.950739492038609,1,0,0.992857142857143,20,Male,85,182,0,4,1,25.6611520347784,3.08333333333333,3,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333
42,42,2,1,3,62,0,0,0,0,0,0,0,0,0,200,1.75,0.380747126436782,0.415697674418605,1.73531695439471,1.47067772276179,0.578458878944045,4.89876163732094,0.205,0.438888888888889,0.294444444444445,0.568493150684932,0.664383561643836,0.375,0.06875,0.270833333333333,0.24375,0.546428571428571,-43,-33,-26,-20,0,35,44,58.6,69.6,28.7,41.8,36.6,48,53.6,-23,-5.5,-20.5,-19.5,-27.3,18,24.7,-15.6,-21,0.933734792983382,0.0709679102830614,0.553948919111928,0.986296189659029,0.0138942140146645,0.632669989545151,18,Male,77,178,5,20,2,24.3024870597147,1.91666666666667,1,0.833333333333333,0.5,0.5,0.333333333333333
