Subj;TSC1;TSC2;TSC3;TSC4;TSC5;TSC6;TSC7;TSC8;TSC9;TSC10;TSC11;TSC12;TSC13;CRT1;CRT2;CRT3;PQ1;PQ2;PQ3;PQ4;PQ5;PQ6;PQ7;PQ8;PQ9;PQ10;PQ11;PQ12;PQ13;PQ14;PQ15;PQ16;PQ17;PQ18;PQ19;PQ20;PQ21;PQ22;PQ23;PQ24
100;4;2;1;2;3;3;4;3;2;2;4;4;4;10;5;47;2;1;2;1;1;1;2;2;1;;1;2;2;1;2;2;1;1;;1;2;2;2;1
83;4;3;4;2;2;4;2;3;3;2;4;2;2;5;100;12;2;2;1;2;2;2;2;2;2;2;2;1;2;2;1;1;1;1;1;2;1;2;1;2
81;4;2;2;4;4;2;2;3;4;4;4;5;5;5;1;47;1;1;2;1;1;1;1;1;1;2;1;2;1;1;2;2;1;1;2;2;2;2;2;1
177;4;1;3;3;2;5;4;4;1;2;4;2;1;5;5;47;1;2;1;2;1;2;1;1;1;1;1;1;2;1;1;2;1;1;1;1;1;2;1;2
188;2;4;5;2;5;2;5;1;4;3;3;4;4;5;5;47;1;1;1;1;;2;2;2;1;1;1;2;2;1;2;2;2;1;1;2;2;1;2;1
111;4;1;1;1;2;5;1;5;2;1;5;2;3;10;100;;1;1;1;1;2;2;1;1;2;2;1;1;2;2;1;2;1;2;2;2;2;2;1;1
158;3;2;4;1;2;3;3;2;4;2;4;1;2;10;100;24;2;1;1;1;2;2;1;2;1;1;1;2;2;2;1;2;1;1;2;1;2;2;2;1
133;1;4;4;2;3;2;3;1;4;3;3;2;2;10;100;24;2;1;1;1;1;2;2;1;2;1;1;2;2;1;2;2;1;1;1;2;2;1;2;1
96;3;1;3;4;5;3;1;4;2;5;5;1;1;10;100;47;1;1;1;1;2;2;1;1;1;2;2;2;2;1;2;2;1;1;2;1;2;2;2;1
88;2;4;2;1;3;3;5;2;2;3;4;3;2;10;5;24;2;2;1;1;1;2;2;2;1;2;2;1;2;2;1;1;1;1;1;2;1;2;1;2
117;1;2;5;2;4;2;5;1;5;4;3;4;3;10;5;47;1;2;1;1;2;2;2;2;1;1;2;1;2;2;1;2;1;2;1;1;2;2;2;2
142;3;5;4;2;1;4;5;2;4;5;3;3;4;10;100;24;2;1;1;1;2;2;2;2;2;1;2;1;2;2;1;2;1;2;1;2;2;2;2;1
153;2;4;3;3;2;4;3;2;4;4;4;2;3;5;100;47;1;1;1;1;1;2;1;2;1;1;1;1;2;2;1;2;2;1;1;2;2;1;2;2
103;2;2;2;4;3;4;5;3;4;4;5;2;5;10;100;7;2;1;1;1;2;2;2;2;2;2;1;2;2;1;2;2;1;1;2;2;2;1;2;1
80;4;2;3;4;2;3;5;1;4;5;2;4;4;5;5;47;1;1;2;2;1;2;1;2;1;1;1;1;2;2;1;2;1;1;1;1;2;2;2;1
109;4;2;2;2;2;4;4;4;2;4;4;2;1;5;5;47;1;1;1;1;2;2;2;2;1;1;2;2;2;1;1;1;1;2;2;2;2;2;2;1
134;5;1;1;3;4;2;1;4;4;2;5;3;2;5;5;47;;;;;;;;;;;;;;;;;;;;;;;;
95;4;2;2;3;3;4;2;4;3;3;4;2;3;5;100;47;1;1;2;1;2;2;1;1;1;2;2;2;2;1;2;2;1;1;2;1;2;2;1;1
87;3;3;1;4;4;1;3;2;4;2;4;4;2;10;100;24;2;1;2;1;2;2;2;1;1;2;2;2;2;1;2;1;1;1;2;1;2;2;2;1
139;3;3;2;2;4;5;2;2;5;3;4;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
145;4;3;2;2;3;3;2;2;3;3;3;2;2;10;100;24;1;1;2;1;2;2;2;1;1;1;1;2;2;1;2;2;2;2;2;2;2;2;2;1
64;5;4;5;4;4;5;5;1;5;4;1;5;1;5;5;24;2;2;1;1;1;2;2;2;1;2;1;2;1;2;2;1;2;1;2;2;2;2;2;2
118;4;2;2;2;3;5;2;5;3;2;5;1;1;;;;2;1;1;1;2;2;1;1;1;2;1;2;2;1;1;2;1;1;2;2;2;2;2;1
93;2;4;3;2;3;3;4;2;2;2;4;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;4;2;3;2;2;2;3;4;4;4;4;2;2;5;5;47;1;1;1;1;2;2;1;2;2;1;1;2;2;1;1;2;1;1;1;2;2;1;2;1
110;4;2;2;4;3;3;2;4;2;1;5;1;1;10;100;24;2;1;1;1;1;2;2;1;1;1;2;2;2;1;2;2;1;2;2;2;2;2;2;2
56;2;5;2;4;5;3;3;4;5;5;3;4;2;5;100;47;1;1;1;1;1;1;2;2;1;1;1;1;2;1;1;;1;1;2;2;2;1;2;1
129;2;2;3;5;3;4;2;5;2;4;3;5;4;10;100;24;1;1;1;1;2;2;1;2;1;1;2;1;2;2;1;1;1;1;2;1;2;2;2;1
85;3;4;4;3;4;2;5;3;5;1;3;4;3;10;5;24;1;1;1;1;1;2;2;1;1;1;2;1;2;1;1;1;1;1;1;2;2;2;2;1
102;4;2;2;2;3;4;1;4;2;1;4;2;2;105;5;47;2;1;1;1;1;2;2;1;2;2;1;2;2;2;2;2;2;1;2;1;2;2;2;1
71;3;3;2;2;2;3;3;3;4;4;4;3;1;5;5;47;1;1;2;1;2;2;1;1;1;2;2;2;2;1;2;2;1;2;2;2;2;2;2;1
48;3;2;4;3;4;2;4;3;4;4;4;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;4;4;5;4;5;1;3;2;5;4;3;1;1;5;5;47;1;1;1;1;2;1;1;2;1;1;1;2;2;1;2;2;1;1;1;2;2;2;2;1
63;3;1;3;4;5;2;2;3;2;2;3;2;2;10;5;47;2;1;1;1;1;2;1;2;1;2;1;2;1;1;1;2;1;1;1;1;2;2;2;1
